zipcode,Year,flood_count,max_severity,median_dead,median_displaced,median_duration,median_area,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
29108,1986,1.0,1.0,2.0,125.0,3.0,3757.12,,100.0,81.8,58.02
29142,2015,1.0,2.0,15.0,800.0,12.0,61355.23,-12.71,101.75,,
29340,2017,1.0,1.5,1.0,0.0,6.0,133033.09,5.91,183.96,,127.59
29341,2003,1.0,1.0,0.0,0.0,12.0,269996.83,1.49,155.44,,108.75
29605,2004,1.0,2.0,0.0,60.0,1.0,274.971,0.82,422.66,197.55,111.51
29860,2018,1.0,1.5,0.0,5000.0,2.0,289139.57,0.22,215.22,177.14,147.59
30075,2018,1.0,1.5,3.0,23000.0,4.0,221576.46,6.04,543.28,249.14,175.84
30103,2009,1.0,1.5,8.0,220.0,7.0,225395.01,-8.82,185.46,,125.23
30116,2021,1.0,1.5,15.0,0.0,2.0,545514.29,17.32,286.93,242.05,176.11
30439,1998,1.0,1.0,0.0,80.0,2.0,39686.6,10.31,124.7,,96.38
32351,1998,1.0,1.0,3.0,65.0,0.0,29738.8,,100.0,,94.01
32446,2009,1.0,1.5,0.0,0.0,1.0,82061.7,-4.85,201.26,,159.47
32466,2012,1.0,1.5,1.0,300.0,3.0,20116.97,6.02,162.32,,129.75
32570,1998,1.0,1.0,4.0,0.0,1.0,214764.31,3.07,136.02,,94.29
32693,2008,1.0,2.0,12.0,400.0,8.0,98478.89,-3.47,179.46,,
32744,2009,1.0,1.5,21.0,0.0,6.0,13738.76,-21.57,241.45,,190.08
33076,1991,1.0,1.0,0.0,0.0,5.0,10405.21,-0.77,91.68,99.23,89.74
33332,1989,1.0,1.0,7.0,4000.0,1.0,25065.05,9.64,238.36,92.82,65.91
33440,1995,1.0,1.0,0.0,600.0,15.0,34849.1,3.9,114.82,96.09,79.43
33572,1988,1.0,2.0,7.0,1000.0,3.0,6517.48,9.63,215.68,94.98,68.39
33825,2004,1.0,1.0,16.0,300.0,9.0,308986.37,19.08,179.59,,146.95
34266,2003,1.0,1.0,0.0,250.0,6.0,18773.56,11.15,154.34,,130.76
34433,2012,1.0,2.0,3.0,17000.0,10.0,67994.98,-6.86,125.7,,115.73
34602,1998,1.0,2.0,0.0,560.0,4.0,19146.28,6.65,112.6,,91.5
34756,2017,1.0,2.0,84.0,3000.0,11.0,219532.85,6.55,242.64,,182.47
34956,2014,1.0,1.0,0.0,0.0,1.0,8447.1,43.72,137.0,,
35475,2021,1.0,1.0,1.0,0.0,2.0,5985.94,9.9,264.43,,171.05
36022,1998,1.0,2.0,11.0,18000.0,6.0,185209.85,4.73,126.83,,97.33
36051,2020,1.0,2.0,0.0,0.0,3.0,193717.87,7.29,128.93,,
36066,2009,1.0,1.0,0.0,0.0,3.0,314990.21,-0.86,174.23,175.73,132.34
36067,2021,1.0,1.5,4.0,0.0,3.0,35416.48,8.47,197.28,,149.22
37029,2010,1.0,1.0,30.0,8000.0,3.0,79123.97,-5.07,182.49,,115.33
37034,2019,1.0,1.5,2.0,0.0,3.0,138726.87,7.13,271.64,,211.11
37046,2021,1.0,2.0,22.0,0.0,2.0,31230.27,10.22,393.08,,249.67
37110,2002,1.0,1.0,6.0,0.0,6.0,87111.92,1.37,140.16,,104.96
37397,2003,1.0,2.0,3.0,2000.0,8.0,313672.72,-2.1,122.33,,111.29
38134,2001,1.0,1.0,1.0,400.0,9.0,132283.24,4.17,275.38,136.2,104.17
38651,2007,1.0,1.0,24.0,0.0,19.0,434387.22,2.43,197.13,197.13,132.67
38668,2002,1.0,1.0,3.0,0.0,2.0,11708.02,2.83,152.83,,107.96
39301,2003,1.0,2.0,0.0,100.0,3.0,83502.65,-0.83,139.71,,106.62
39571,2012,1.0,1.5,1.0,60000.0,10.0,83938.23,-3.88,215.11,237.04,129.56
39823,2014,1.0,2.0,1.0,200.0,1.0,260469.81,-3.02,106.81,,
39845,2002,1.0,1.0,0.0,0.0,3.0,5643.54,-1.99,98.01,,
40045,2004,1.0,1.0,2.0,60.0,12.0,167998.11,1.68,127.41,,
40067,2005,1.0,2.0,3.0,4000.0,27.0,285908.88,5.61,186.07,,121.4
40347,2003,1.0,1.0,2.0,0.0,0.0,10537.09,4.8,149.59,,111.63
40380,2004,1.0,1.0,3.0,0.0,5.0,59887.68,8.32,179.9,,123.21
41031,2017,1.0,1.5,1.0,10.0,1.0,3337.42,8.99,188.58,,133.67
41143,2003,1.0,1.0,0.0,200.0,1.0,4845.05,5.99,118.41,,112.79
41164,2015,1.0,1.5,3.0,0.0,3.0,44261.07,8.2,124.06,,
42003,2006,1.0,1.0,6.0,0.0,3.0,17035.91,2.24,202.38,172.83,120.34
42058,2008,1.0,1.0,13.0,0.0,12.0,337703.28,4.17,145.17,,135.68
42159,2015,1.0,1.5,0.0,0.0,13.0,56870.12,1.4,126.0,,
43119,1990,1.0,1.0,0.0,3500.0,3.0,177858.71,3.57,172.96,100.0,70.6
43229,1999,1.0,1.0,0.0,0.0,6.0,21898.24,2.98,284.38,133.91,95.33
43230,1991,1.0,1.0,4.0,0.0,1.0,210359.75,3.43,228.89,103.43,74.91
44046,2006,1.0,1.0,1.0,600.0,3.0,4721.61,7.54,182.22,,119.59
44401,2003,1.0,1.0,3.0,1000.0,7.0,12173.27,-0.68,163.57,,112.16
44904,1987,1.0,2.0,0.0,2100.0,1.0,11883.86,3.5,126.2,84.96,58.48
45042,1998,1.0,1.0,0.0,0.0,2.0,70592.46,1.55,259.13,138.91,92.0
45053,2015,1.0,1.0,2.0,0.0,2.0,161572.75,-8.64,201.08,173.88,104.07
45064,2001,1.0,2.0,3.0,0.0,1.0,1713.61,2.75,162.43,,102.75
45146,2020,1.0,1.5,8.0,30.0,12.0,126521.34,17.38,153.61,,141.56
46121,2003,1.0,2.0,1.0,500.0,8.0,32128.23,5.15,134.89,,111.61
46229,2003,1.0,2.0,3.0,1200.0,16.0,150549.91,-0.12,218.75,142.36,107.87
46390,2006,1.0,1.0,2.0,0.0,3.0,6787.66,4.68,185.46,,125.71
47408,1999,1.0,1.0,0.0,0.0,6.0,18264.99,2.0,188.54,144.1,99.0
47959,2008,1.0,1.5,0.0,150.0,6.0,118976.95,-1.75,133.89,,
48025,2014,1.0,2.0,1.0,0.0,9.0,11462.27,12.28,458.59,199.14,110.37
48430,1997,1.0,1.0,16.0,0.0,3.0,16278.89,8.28,352.21,149.19,84.97
48806,2020,1.0,2.0,0.0,10000.0,2.0,6215.87,,162.79,,137.13
49031,2018,1.0,1.5,2.0,50.0,2.0,71930.31,5.29,419.55,313.89,155.01
49269,2009,1.0,1.0,18.0,0.0,2.0,33319.22,-10.18,163.24,163.24,95.79
49849,2003,1.0,1.0,0.0,1752.0,3.0,856.765,0.99,194.88,158.4,106.26
50056,2018,1.0,1.5,1.0,100.0,12.0,13708.59,-9.34,136.81,,
50161,2013,1.0,1.0,0.0,400.0,9.0,123500.44,2.51,119.47,,
50230,2010,1.0,1.0,1.0,1000.0,1.0,8257.4,18.92,122.1,,
50472,2004,1.0,1.0,1.0,0.0,4.0,15942.11,1.46,103.73,,
50574,2014,1.0,2.0,0.0,600.0,34.0,418317.13,-2.29,114.81,,
52033,2002,1.0,1.0,0.0,500.0,2.0,43981.36,0.31,144.82,,111.5
52175,2016,1.0,1.5,1.0,0.0,2.0,17367.94,7.11,131.96,,121.41
53103,1986,1.0,1.0,1.0,250.0,0.0,6562.47,,100.0,79.99,47.4
53807,2001,1.0,2.0,1.0,4400.0,30.0,63376.98,7.81,126.48,,107.81
53922,2004,1.0,2.0,0.0,500.0,11.0,28979.14,2.53,102.53,,
54646,2010,1.0,2.0,0.0,0.0,8.0,3873.19,-3.94,198.44,,134.13
58042,2006,1.0,1.0,1.0,0.0,26.0,15349.57,6.13,158.99,,146.27
58703,2011,1.0,2.0,0.0,16000.0,16.0,16000.97,8.51,348.77,281.42,190.23
59722,2018,1.0,1.0,0.0,195.0,7.0,55437.8,11.97,195.51,,
60047,1998,1.0,2.0,2.0,600.0,2.0,54155.77,2.08,321.88,120.52,89.47
60553,1997,1.0,1.0,0.0,700.0,4.0,30332.64,19.97,138.17,,94.87
61241,2001,1.0,2.0,0.0,200.0,2.0,24.3252,3.87,174.89,,103.87
61285,2004,1.0,1.0,1.0,150.0,4.0,117312.56,-6.88,93.12,,
61565,2008,1.0,1.0,0.0,0.0,7.0,313350.84,-0.5,129.28,,
61611,1985,1.0,2.0,4.0,2400.0,5.0,26266.14,-1.83,83.32,77.6,49.19
63077,2019,1.0,1.5,2.0,0.0,41.0,429706.84,2.24,204.69,,134.94
63366,1986,1.0,2.0,10.0,55000.0,17.0,107660.8,1.79,166.69,91.39,61.67
64075,1998,1.0,1.0,11.0,0.0,1.0,6064.27,6.69,149.75,143.98,86.05
64150,2017,1.0,1.5,1.0,36.0,4.0,4765.56,10.61,204.65,,142.17
64865,2007,1.0,1.5,26.0,2800.0,11.0,1216616.2,0.48,134.64,,122.29
67002,1999,1.0,1.0,4.0,50.0,7.0,263026.77,2.52,162.09,133.97,97.73
68405,2003,1.0,1.0,1.0,0.0,3.0,41056.59,-0.93,120.33,,109.14
69153,2002,1.0,1.0,1.0,0.0,2.0,712.688,3.96,123.06,,110.14
70056,2002,1.0,1.0,1.0,2500.0,3.0,31074.07,4.32,250.43,179.35,109.17
70068,2005,1.0,2.0,1053.0,500000.0,21.0,50377.42,8.15,237.49,189.37,128.65
70115,1995,1.0,1.0,6.0,20000.0,6.0,19344.57,4.35,175.22,115.72,66.8
70517,2021,1.0,1.5,95.0,0.0,0.0,39063.25,5.51,237.94,,178.88
70560,2016,1.0,2.0,13.0,40000.0,12.0,19554.02,-0.99,219.97,,152.47
70582,2019,1.0,1.5,0.0,50.0,4.0,58048.15,1.83,185.54,,175.11
70714,1990,1.0,1.0,0.0,150.0,4.0,7561.74,8.76,105.84,100.0,66.21
71301,2008,1.0,1.5,0.0,0.0,1.0,163438.25,-0.55,236.46,211.78,141.63
71483,2003,1.0,1.0,0.0,0.0,5.0,457677.64,2.14,118.44,,114.74
71953,2010,1.0,2.0,20.0,0.0,0.0,12234.56,-0.14,143.39,,133.28
72176,2001,1.0,1.0,3.0,100.0,8.0,45272.89,0.44,106.04,,100.44
74048,1998,1.0,1.0,1.0,2000.0,1.0,50302.57,,100.0,,87.57
74301,2019,1.0,2.0,0.0,4000.0,7.0,250078.73,2.12,148.26,,138.36
75068,2006,1.0,1.0,1.0,0.0,7.0,16205.26,1.96,175.79,,117.25
75652,1999,1.0,1.0,0.0,0.0,4.0,56744.18,1.15,101.15,,96.7
76001,2004,1.0,2.0,3.0,0.0,3.0,21194.51,0.41,127.14,137.43,111.3
76053,2007,1.0,1.5,8.0,5000.0,27.0,507778.21,3.1,155.77,176.64,124.7
76501,2004,1.0,1.0,0.0,200.0,5.0,114505.27,9.79,163.57,202.4,125.57
77074,2009,1.0,1.0,0.0,20000.0,10.0,6812.65,-4.44,200.56,225.9,139.73
77302,1994,1.0,1.0,19.0,10000.0,6.0,72987.24,2.64,126.38,119.16,78.99
77320,1998,1.0,1.0,0.0,100.0,2.0,15178.46,6.79,111.54,122.1,91.98
77320,2016,1.0,1.5,11.0,0.0,29.0,160371.39,4.09,204.03,223.36,168.26
77386,2017,1.0,2.0,0.0,0.0,1.0,336227.02,0.93,184.92,254.35,174.45
77471,2012,1.0,1.5,0.0,100.0,3.0,24530.67,2.53,187.31,190.04,143.0
77545,2019,1.0,2.0,6.0,0.0,3.0,33023.95,27.92,198.88,,
77904,2010,1.0,1.0,8.0,0.0,4.0,15031.48,2.0,160.53,183.37,141.2
78041,2003,1.0,2.0,0.0,50.0,12.0,62960.79,3.86,160.39,145.69,112.99
78612,2004,1.0,1.0,3.0,600.0,14.0,107063.04,0.3,124.92,,108.0
78642,2013,1.0,2.0,4.0,4800.0,10.0,38936.39,3.0,176.98,,139.37
78666,2007,1.0,1.0,2.0,0.0,2.0,11015.63,2.56,171.49,208.51,129.09
79765,1986,1.0,1.0,3.0,0.0,3.0,49574.37,-12.46,87.54,109.05,84.79
79915,2006,1.0,1.0,1.0,5000.0,11.0,3609.62,16.74,142.3,,149.71
80534,1997,1.0,1.0,5.0,400.0,7.0,15184.9,6.89,164.65,,79.25
81023,2013,1.0,2.0,10.0,11000.0,8.0,100404.04,5.29,137.43,,127.21
84040,1991,1.0,2.0,0.0,0.0,3.0,24977.94,3.1,185.95,103.1,58.91
84783,2005,1.0,2.0,1.0,850.0,3.0,71018.19,27.94,242.54,,155.11
85544,2017,1.0,2.0,9.0,0.0,1.0,9110.64,10.16,181.99,,155.23
89406,1999,1.0,1.0,2.0,0.0,1.0,4316.89,-0.39,215.85,116.95,96.57
89408,2008,1.0,1.0,0.0,1500.0,4.0,551.192,-23.42,235.28,196.98,139.88
90247,2003,1.0,1.0,18.0,0.0,1.0,254.649,14.57,625.07,131.34,143.59
90266,2018,1.0,2.0,15.0,1200.0,2.0,12771.17,1.77,2220.62,303.78,228.72
91755,1992,1.0,2.0,8.0,0.0,2.0,4604.18,-0.32,523.56,95.83,101.04
91776,2005,1.0,1.0,4.0,500.0,3.0,11751.45,23.91,1085.7,219.05,211.56
92277,2003,1.0,1.0,3.0,30.0,0.0,5002.79,9.95,121.32,,131.76
92404,2003,1.0,1.0,15.0,0.0,1.0,257.162,14.12,468.79,140.88,138.77
93066,2003,1.0,1.0,0.0,0.0,1.0,29456.33,10.38,273.69,170.12,141.22
93204,2018,1.0,1.5,0.0,0.0,5.0,72393.23,0.76,175.54,,
93313,2017,1.0,1.0,0.0,0.0,1.0,74443.11,3.2,296.88,204.97,186.52
94574,2016,1.0,1.5,1.0,36.0,5.0,74128.03,7.64,1222.65,383.21,206.74
95203,2004,1.0,1.0,0.0,300.0,130.0,607.755,19.54,667.67,217.39,188.06
95215,2018,1.0,1.5,0.0,30000.0,3.0,51513.38,13.53,733.52,283.39,225.87
95316,1997,1.0,2.0,20.0,100000.0,31.0,156686.54,-3.36,149.45,94.84,80.69
95340,1998,1.0,1.0,0.0,0.0,1.0,4080.72,3.79,337.04,103.79,89.98
95386,2006,1.0,1.0,1.0,600.0,13.0,44107.11,13.85,508.46,289.59,265.4
95451,2019,1.0,1.5,1.0,8000.0,7.0,21540.28,2.21,422.61,259.92,201.62
95457,2002,1.0,1.0,6.0,0.0,10.0,44627.03,4.88,164.31,,110.99
95633,2010,1.0,1.5,0.0,1000.0,9.0,355567.84,-6.73,153.79,153.79,124.03
95633,2017,1.0,1.5,5.0,14000.0,15.0,126994.99,6.33,214.42,214.42,172.92
96717,1991,1.0,1.0,0.0,200.0,6.0,875.511,,100.0,,109.08
96741,1991,1.0,1.0,3.0,200.0,2.0,1319.59,,100.0,,105.71
96741,1992,1.0,1.0,3.0,25000.0,2.0,2901.55,-2.15,97.85,,103.44
96741,2012,1.0,1.5,0.0,83.0,3.0,2046.16,1.26,155.73,,164.62
96744,1988,1.0,1.0,0.0,2800.0,1.0,385.696,17.33,280.54,63.92,61.25
96786,2006,1.0,1.0,0.0,0.0,13.0,3020.97,21.66,376.66,213.07,217.61
97112,1999,1.0,2.0,0.0,100.0,2.0,18279.39,3.47,103.47,,96.63
97304,1990,1.0,2.0,4.0,3000.0,2.0,86746.69,9.66,168.29,100.0,56.43
97344,2021,1.0,1.0,0.0,0.0,2.0,68968.0,1.51,270.35,,262.08
98012,2006,1.0,1.0,2.0,1500.0,5.0,57886.05,17.66,809.42,236.4,163.12
98053,1986,1.0,2.0,0.0,2000.0,3.0,26882.0,4.18,133.59,60.92,37.23
98252,1990,1.0,1.0,0.0,500.0,5.0,23287.94,26.63,158.63,100.0,64.47
98387,1997,1.0,1.0,4.0,600.0,4.0,65906.03,3.11,187.35,142.86,89.75
98501,2009,1.0,1.5,9.0,0.0,1.0,47811.61,-5.55,577.53,281.05,170.92
98503,2008,1.0,1.5,2.0,0.0,6.0,75156.68,-1.42,578.9,289.04,181.96
98506,2007,1.0,1.0,2.0,1100.0,4.0,41684.03,4.41,653.48,320.03,188.83
99669,2002,1.0,2.0,0.0,0.0,4.0,13912.96,1.72,116.2,,107.77
99705,1991,1.0,1.0,2.0,800.0,4.0,22130.06,20.76,72.44,120.76,69.72
99705,2003,1.0,1.0,0.0,0.0,4.0,1681.67,4.43,113.15,188.63,108.9
99709,2003,1.0,1.0,0.0,0.0,5.0,6718.98,2.88,246.91,162.72,110.3
99824,2014,1.0,1.0,0.0,0.0,3.0,2950.82,6.54,176.14,,156.0
39571,2012,1.0005713801657536,1.2758016207414036,310.27915728038255,159995.53164840082,28.448747504899302,45600.18482560848,,454.80099854356706,,
70560,2016,1.0007424068371187,1.3267489309370104,267.4568441714013,141233.06829701771,35.9913127629327,-26842.46332118221,,224.14756253796486,,
70560,2016,0.9998777808347769,1.6078646164047634,291.85448405956987,115057.80703785914,82.7673910460797,-16414.500160170854,,936.362211537858,,
70560,2016,1.000161755386397,1.0550523953610111,185.0896987494778,91578.72155645763,18.808450292463768,20188.46754643553,,244.8076614080299,,
70560,2016,0.9972216869584472,1.8636028631555908,165.79068381240893,93072.30671788819,3.521878617441317,34785.958710838815,,749.3789356356992,,
37046,2021,1.0005381416616626,1.5354547366031168,-231.36865866658508,-108096.87804619753,-36.93275893937716,31586.54874372635,,461.13319035484346,,
39571,2012,0.9991056676698908,2.00951283664807,405.9286531853291,188571.65732009828,31.297050058978265,17522.17124848229,,1062.157179755906,,
43229,1999,1.000410383308686,1.4475793778529698,-65.92755154724414,-56621.85066179268,-8.764737836088093,23402.19459301808,,1076.0573478547221,,
91755,1992,0.9990270364662438,1.1389682307979565,-233.66785034614435,-105302.196422385,11.989756039530947,4415.758237973918,,496.0901284380136,,
78041,2003,1.0000608640874744,0.7509918349113694,-206.59188343300934,-63135.85730563173,66.99047423233021,64725.878341113326,,634.5793802223882,,
95316,1997,1.0007892583286975,1.029241471439088,402.1686390441414,194931.7424309097,1.4493488328948612,64788.592830799826,,135.2765330653284,,
43229,1999,0.9996854871041364,1.3403462103841868,-95.86501612502092,-55303.66963443366,41.15648099465166,23336.939218806132,,988.6484059194386,,
93066,2003,0.99872626637986,1.058623965715954,-282.0334859341122,-128783.36795344282,20.089846882620893,29641.78864752633,,1004.4834987733883,,
96741,1992,1.0001660609083507,1.6741242979794628,157.88147678772867,67743.34564080564,22.67842685193849,-31053.712619988477,,563.8599136917392,,
96744,1988,1.0010725318344351,0.8574575667079084,-0.5040944853804774,8112.261733668831,60.1931480996968,-18160.742859757815,,1178.3074249613796,,
39571,2012,1.0002590286447384,1.828131821704989,320.0464043556181,146346.2984405167,-3.4582449771540187,39719.897240179984,,783.7067895530384,,
70560,2016,1.0007753361059566,1.0735498430699475,229.72728719269287,98286.06125622868,29.429859350980806,24846.02458244588,,501.90202213234227,,
85544,2017,0.999923105051415,0.6670002777995749,-101.75625926964123,-58107.5927023819,76.40982638465704,8806.406329630012,,207.50987799890157,,
39571,2012,0.9993509132673705,1.043607900060122,178.64192162550978,87416.1095791022,31.677111766908773,57235.0816898209,,-106.55824112542962,,
39571,2012,1.0008855123738285,1.5002251676088614,345.61102206689407,172678.9706885048,20.345634167613998,51460.786793481224,,961.6533015596656,,
39571,2012,1.0003244909578284,2.0194620289102074,178.2016002699587,71901.82289986956,44.49970773242085,47597.05470578553,,205.2993597041841,,
70560,2016,0.9987829292030195,1.4170221473069606,93.33363330007919,56450.45846666259,46.85548027198314,-1847.874437239374,,186.2308499601047,,
74048,1998,0.9992654989351195,1.8491064195725062,54.624544660378774,3772.3493715995974,-8.180463391017215,51776.42689364396,,649.7283505762415,,
70560,2016,0.9990594644150376,1.7073844690539395,313.23933195910973,142813.70834818,55.02074896160121,18710.860476256712,,1106.233162866072,,
39571,2012,0.9987906180293129,1.6744830430316298,304.91257846171595,131766.21766624553,3.646982271113865,40154.588465044144,,1208.398269645716,,
32693,2008,0.9990228199991865,1.1024361073410804,-50.572074174487284,-34469.06861935939,-45.64665348564149,96238.40677172986,,694.406811157417,,
70115,1995,0.9989544288316532,1.6019917528096366,38.047333186044085,26248.809984074807,24.428259649813302,28684.392187878362,,772.5700889262339,,
70560,2016,0.9982370625276963,1.6617670450057294,145.3295560024116,71763.06723872117,38.11106798870053,11373.053467417732,,909.4149300547493,,
44904,1987,1.0009590080964264,1.5692542686806734,40.982132433774105,4971.803836672847,36.19042002444932,11353.511775144412,,287.2341904085024,,
98501,2009,0.9991280860111872,1.2200823915545784,-272.79529192687266,-130730.65867467955,11.861744869150941,47385.68061023485,,1124.4860067926177,,
17036,2018,1.0011525653716595,0.9772093025070994,-284.26861868697506,-136225.93550963362,40.8523691086698,25209.068436162845,,296.42409193449635,,
39571,2012,0.999642695458063,1.186674732205776,419.03885413744234,205396.65316011908,2.6784110716557894,43798.506672062475,,908.6752130371088,,
70560,2016,0.9994504236549369,1.5962411579561113,204.1856810276082,79125.5639884415,25.382324551705135,36279.420385329606,,1053.64900474758,,
95316,1997,0.9995579259831329,1.142503481248799,368.64964282194205,176312.22033390912,45.15483673685783,96889.55099813567,,-277.8145389789411,,
48025,2014,1.0003342470911498,2.0601511796199734,-169.84357470336573,-90265.32008953035,-37.02540968064643,11653.552079186193,,1037.2677351308146,,
70560,2016,0.99834864901352,1.610388209251524,147.5944407774798,67628.802354432,47.66169976061678,41588.96583322577,,1376.3054123909142,,
95316,1997,1.000019442140899,2.3876099529841905,396.21342166226793,183396.7284178577,-36.9272767736271,83870.25913373937,,850.4198874451074,,
70560,2016,0.9986767361928484,2.345594741599482,310.7334065858927,140837.08065336372,-42.49029765279893,5337.86430919162,,666.8070379315199,,
70560,2016,1.000202457525831,1.4477498724350955,71.8787063508818,46415.69362374172,79.55709585935662,21529.56368868139,,677.5891551332421,,
95215,2018,0.9978886823583833,1.3372372438576057,112.1814464972489,23222.752327958573,-19.276238127614093,47722.32497925108,,654.721979858823,,
37046,2021,0.9991150095328128,1.34904237966368,-102.72732418502109,-48987.10463381312,2.076784932941539,30527.83150941237,,598.1531184530616,,
70560,2016,0.9994186858659638,1.493105477364125,198.1398551903953,85680.54501033036,62.316341155139874,19397.233923864296,,822.2845279180715,,
39571,2012,1.0006692027281807,1.1711534060206807,196.55324588993994,103317.35129468731,-35.85752132451237,56787.17552114886,,383.4007027697253,,
78041,2003,0.9990690659160255,1.2912840020527454,-209.56085694235355,-105812.1032032884,-9.841644168554344,64288.60599932504,,1017.6300665519987,,
39571,2012,0.9980876823601595,1.2134809869582996,170.63762678285667,90851.06598803194,21.428343279649077,58018.587929065434,,741.6038762876358,,
90247,2003,0.9993329438965297,1.5044230018471532,-226.53513066051465,-91042.89393952949,35.696816159548305,-16810.764096763833,,1056.5652094798427,,
39571,2012,0.9993861586585241,1.832629077138619,192.56927504376438,112328.692488412,46.19728181423932,35536.640819803426,,1545.1245931383437,,
77904,2010,1.0004773817305748,1.4677257725209434,-247.5216944054069,-126516.68327766718,40.774374234597865,14861.359789953913,,787.1951551117837,,
39571,2012,1.0006823426011198,1.5533983436014,180.70457667361273,106826.42208922835,29.99209280541806,68750.55808793248,,1506.5492214649403,,
95215,2018,1.0008441369135173,0.7784777519419186,72.37962234932242,35256.68352816785,17.302258737295926,63488.73175689147,,350.26793032129854,,
70560,2016,0.9977242387024323,1.332256322165191,144.26043267508186,70430.34340060287,40.32763463297285,45128.20759569016,,634.5830146873913,,
21783,1996,0.9990236908735185,0.9057557828155794,-0.0026914163049411854,-15814.39224141826,76.68126917103781,19669.044919063526,,-48.85227468137555,,
95316,1997,1.0019127065170639,1.1622643566011213,462.8453808798209,199170.7085014861,-9.030403709940872,58655.3393057487,,600.2820532295736,,
41164,2015,1.000132299443942,1.3125854510402064,1.8172161802731637,-11780.095609609685,49.699458685816836,44359.749459678846,,321.16872981063705,,
70560,2016,0.9997243648421121,1.4729855061301402,117.2651398983794,39847.56243225801,-5.427975364820901,25728.833304555035,,577.7296598550828,,
61241,2001,0.999697651709668,1.6325695211376623,12.002054040777914,1144.5911388170316,26.81626540392157,-28967.579738832184,,1173.6330577226663,,
77545,2019,0.9989395531858891,1.609942063524931,-301.377469028447,-145721.90646806438,-52.68463514981912,32256.59971822893,,1020.7518590286717,,
91755,1992,0.9984487371452666,1.1748266539964152,-262.65422992240565,-147446.53943907504,52.22135972920799,4316.520162283014,,1036.9462158554231,,
53807,2001,0.9985109548261151,1.166646690888033,4.043777831508322,10001.43978195465,-5.798688996777946,59518.49626575192,,265.0768744717719,,
42003,2006,1.0001370778210414,1.7499897779765132,-82.14048306744094,-70672.04912451463,-6.524897866648848,17261.71634495641,,970.6120621364452,,
96744,1988,1.0000147182586345,1.4142189940742294,28.037498476343806,9990.47007090527,75.98357613933214,-21709.840632225165,,979.1887146926255,,
43229,1999,1.0014411957604956,1.8387060271546845,-121.22267720382011,-61360.11694121235,14.696075423560817,21384.459322226037,,1537.6107888999209,,
